reference,wholesale_list,wholesale_sale,retail_list,retail_sale
DEMO-050,42.00,36.00,74.00,68.00
DEMO-051,42.00,36.00,74.00,68.00
DEMO-052,42.00,36.00,74.00,68.00
DEMO-053,42.00,36.00,74.00,68.00
DEMO-054,42.00,36.00,74.00,68.00
DEMO-055,42.00,36.00,74.00,68.00
DEMO-056,42.00,36.00,74.00,68.00
DEMO-057,42.00,36.00,74.00,68.00
DEMO-058,42.00,36.00,74.00,68.00
DEMO-059,42.00,36.00,74.00,68.00
DEMO-060,42.00,36.00,74.00,68.00
DEMO-061,42.00,36.00,74.00,68.00
DEMO-062,42.00,36.00,74.00,68.00
DEMO-063,42.00,36.00,74.00,68.00
DEMO-064,42.00,36.00,74.00,68.00
DEMO-065,42.00,36.00,74.00,68.00
DEMO-066,42.00,36.00,74.00,68.00
DEMO-067,42.00,36.00,74.00,68.00
DEMO-068,42.00,36.00,74.00,68.00
DEMO-069,42.00,36.00,74.00,68.00
DEMO-070,42.00,36.00,74.00,68.00
DEMO-071,42.00,36.00,74.00,68.00
DEMO-072,42.00,36.00,74.00,68.00
DEMO-073,42.00,36.00,74.00,68.00
DEMO-074,42.00,36.00,74.00,68.00
DEMO-075,42.00,36.00,74.00,68.00
DEMO-076,42.00,36.00,74.00,68.00
DEMO-077,42.00,36.00,74.00,68.00
DEMO-078,42.00,36.00,74.00,68.00
DEMO-079,42.00,36.00,74.00,68.00
DEMO-080,42.00,36.00,74.00,68.00
DEMO-081,42.00,36.00,74.00,68.00
DEMO-082,42.00,36.00,74.00,68.00
DEMO-083,42.00,36.00,74.00,68.00
DEMO-084,42.00,36.00,74.00,68.00
DEMO-085,42.00,36.00,74.00,68.00
DEMO-086,42.00,36.00,74.00,68.00
DEMO-087,42.00,36.00,74.00,68.00
DEMO-088,42.00,36.00,74.00,68.00
DEMO-089,42.00,36.00,74.00,68.00
DEMO-090,42.00,36.00,74.00,68.00
DEMO-091,42.00,36.00,74.00,68.00
DEMO-092,42.00,36.00,74.00,68.00
DEMO-093,42.00,36.00,74.00,68.00
DEMO-094,42.00,36.00,74.00,68.00
DEMO-095,42.00,36.00,74.00,68.00
DEMO-096,42.00,36.00,74.00,68.00
DEMO-097,42.00,36.00,74.00,68.00
DEMO-098,42.00,36.00,74.00,68.00
DEMO-099,42.00,36.00,74.00,68.00
DEMO-100,42.00,36.00,74.00,68.00
DEMO-101,42.00,36.00,74.00,68.00
DEMO-102,42.00,36.00,74.00,68.00
DEMO-103,42.00,36.00,74.00,68.00
DEMO-104,42.00,36.00,74.00,68.00
DEMO-105,42.00,36.00,74.00,68.00
DEMO-106,42.00,36.00,74.00,68.00
DEMO-107,42.00,36.00,74.00,68.00
DEMO-108,42.00,36.00,74.00,68.00
DEMO-109,42.00,36.00,74.00,68.00
DEMO-110,42.00,36.00,74.00,68.00
DEMO-111,42.00,36.00,74.00,68.00
DEMO-112,42.00,36.00,74.00,68.00
DEMO-113,42.00,36.00,74.00,68.00
DEMO-114,42.00,36.00,74.00,68.00
DEMO-115,42.00,36.00,74.00,68.00
DEMO-116,42.00,36.00,74.00,68.00
DEMO-117,42.00,36.00,74.00,68.00
DEMO-118,42.00,36.00,74.00,68.00
DEMO-119,42.00,36.00,74.00,68.00
DEMO-120,42.00,36.00,74.00,68.00
DEMO-121,42.00,36.00,74.00,68.00
DEMO-122,42.00,36.00,74.00,68.00
DEMO-123,42.00,36.00,74.00,68.00
DEMO-124,42.00,36.00,74.00,68.00
DEMO-125,42.00,36.00,74.00,68.00
DEMO-126,42.00,36.00,74.00,68.00
DEMO-127,42.00,36.00,74.00,68.00
DEMO-128,42.00,36.00,74.00,68.00
DEMO-129,42.00,36.00,74.00,68.00
DEMO-130,42.00,36.00,74.00,68.00
DEMO-131,42.00,36.00,74.00,68.00
DEMO-132,42.00,36.00,74.00,68.00
DEMO-133,42.00,36.00,74.00,68.00
DEMO-134,42.00,36.00,74.00,68.00
DEMO-135,42.00,36.00,74.00,68.00
DEMO-136,42.00,36.00,74.00,68.00
DEMO-137,42.00,36.00,74.00,68.00
DEMO-138,42.00,36.00,74.00,68.00
DEMO-139,42.00,36.00,74.00,68.00
DEMO-140,42.00,36.00,74.00,68.00
DEMO-141,42.00,36.00,74.00,68.00
DEMO-142,42.00,36.00,74.00,68.00
DEMO-143,42.00,36.00,74.00,68.00
DEMO-144,42.00,36.00,74.00,68.00
DEMO-145,42.00,36.00,74.00,68.00
DEMO-146,42.00,36.00,74.00,68.00
DEMO-147,42.00,36.00,74.00,68.00
DEMO-148,42.00,36.00,74.00,68.00
DEMO-149,42.00,36.00,74.00,68.00
DEMO-150,42.00,36.00,74.00,68.00
DEMO-151,42.00,36.00,74.00,68.00
DEMO-152,42.00,36.00,74.00,68.00
DEMO-153,42.00,36.00,74.00,68.00
DEMO-154,42.00,36.00,74.00,68.00
DEMO-155,42.00,36.00,74.00,68.00
DEMO-156,42.00,36.00,74.00,68.00
DEMO-157,42.00,36.00,74.00,68.00
DEMO-158,42.00,36.00,74.00,68.00
DEMO-159,42.00,36.00,74.00,68.00
DEMO-160,42.00,36.00,74.00,68.00
DEMO-161,42.00,36.00,74.00,68.00
DEMO-162,42.00,36.00,74.00,68.00
DEMO-163,42.00,36.00,74.00,68.00
DEMO-164,42.00,36.00,74.00,68.00
DEMO-165,42.00,36.00,74.00,68.00
DEMO-166,42.00,36.00,74.00,68.00
DEMO-167,42.00,36.00,74.00,68.00
DEMO-168,42.00,36.00,74.00,68.00
DEMO-169,42.00,36.00,74.00,68.00
DEMO-170,42.00,36.00,74.00,68.00
DEMO-171,42.00,36.00,74.00,68.00
DEMO-172,42.00,36.00,74.00,68.00
DEMO-173,42.00,36.00,74.00,68.00
DEMO-174,42.00,36.00,74.00,68.00
DEMO-175,42.00,36.00,74.00,68.00
DEMO-176,42.00,36.00,74.00,68.00
DEMO-177,42.00,36.00,74.00,68.00
DEMO-178,42.00,36.00,74.00,68.00
DEMO-179,42.00,36.00,74.00,68.00
DEMO-180,42.00,36.00,74.00,68.00
DEMO-181,42.00,36.00,74.00,68.00
DEMO-182,42.00,36.00,74.00,68.00
DEMO-183,42.00,36.00,74.00,68.00
DEMO-184,42.00,36.00,74.00,68.00
DEMO-185,42.00,36.00,74.00,68.00
DEMO-186,42.00,36.00,74.00,68.00
DEMO-187,42.00,36.00,74.00,68.00
DEMO-188,42.00,36.00,74.00,68.00
DEMO-189,42.00,36.00,74.00,68.00
DEMO-190,42.00,36.00,74.00,68.00
DEMO-191,42.00,36.00,74.00,68.00
DEMO-192,42.00,36.00,74.00,68.00
DEMO-193,42.00,36.00,74.00,68.00
DEMO-194,42.00,36.00,74.00,68.00
DEMO-195,42.00,36.00,74.00,68.00
DEMO-196,42.00,36.00,74.00,68.00
DEMO-197,42.00,36.00,74.00,68.00
DEMO-198,42.00,36.00,74.00,68.00
DEMO-199,42.00,36.00,74.00,68.00
DEMO-200,42.00,36.00,74.00,68.00
DEMO-201,42.00,36.00,74.00,68.00
DEMO-202,42.00,36.00,74.00,68.00
DEMO-203,42.00,36.00,74.00,68.00
DEMO-204,42.00,36.00,74.00,68.00
DEMO-205,42.00,36.00,74.00,68.00
DEMO-206,42.00,36.00,74.00,68.00
DEMO-207,42.00,36.00,74.00,68.00
DEMO-208,42.00,36.00,74.00,68.00
DEMO-209,42.00,36.00,74.00,68.00
DEMO-210,42.00,36.00,74.00,68.00
DEMO-211,42.00,36.00,74.00,68.00
DEMO-212,42.00,36.00,74.00,68.00
DEMO-213,42.00,36.00,74.00,68.00
DEMO-214,42.00,36.00,74.00,68.00
DEMO-215,42.00,36.00,74.00,68.00
DEMO-216,42.00,36.00,74.00,68.00
DEMO-217,42.00,36.00,74.00,68.00
DEMO-218,42.00,36.00,74.00,68.00
DEMO-219,42.00,36.00,74.00,68.00
DEMO-220,42.00,36.00,74.00,68.00
DEMO-221,42.00,36.00,74.00,68.00
DEMO-222,42.00,36.00,74.00,68.00
DEMO-223,42.00,36.00,74.00,68.00
DEMO-224,42.00,36.00,74.00,68.00
DEMO-225,42.00,36.00,74.00,68.00
DEMO-226,42.00,36.00,74.00,68.00
DEMO-227,42.00,36.00,74.00,68.00
DEMO-228,42.00,36.00,74.00,68.00
DEMO-229,42.00,36.00,74.00,68.00
DEMO-230,42.00,36.00,74.00,68.00
DEMO-231,42.00,36.00,74.00,68.00
DEMO-232,42.00,36.00,74.00,68.00
DEMO-233,42.00,36.00,74.00,68.00
DEMO-234,42.00,36.00,74.00,68.00
DEMO-235,42.00,36.00,74.00,68.00
DEMO-236,42.00,36.00,74.00,68.00
DEMO-237,42.00,36.00,74.00,68.00
DEMO-238,42.00,36.00,74.00,68.00
DEMO-239,42.00,36.00,74.00,68.00
DEMO-240,42.00,36.00,74.00,68.00
DEMO-241,42.00,36.00,74.00,68.00
DEMO-242,42.00,36.00,74.00,68.00
DEMO-243,42.00,36.00,74.00,68.00
DEMO-244,42.00,36.00,74.00,68.00
DEMO-245,42.00,36.00,74.00,68.00
